	EC_12_R1	EC_12_R2	EC_24_R1	EC_24_R2	EC_36_R1	EC_36_R2	EC_48_R1	EC_48_R2	EC_72_R1	EC_72_R2	EC+ANDV_12_R1	EC+ANDV_12_R2	EC+ANDV_24_R1	EC+ANDV_24_R2	EC+ANDV_36_R1	EC+ANDV_36_R2	EC+ANDV_48_R1	EC+ANDV_48_R2	EC+ANDV_72_R1	EC+ANDV_72_R2	EC+SNV_12_R1	EC+SNV_12_R2	EC+SNV_24_R1	EC+SNV_24_R2	EC+SNV_36_R1	EC+SNV_36_R2	EC+SNV_48_R1	EC+SNV_48_R2	EC+SNV_72_R1	EC+SNV_72_R2	M_12_R1	M_12_R2	M_24_R1	M_24_R2	M_36_R1	M_36_R2	M_48_R1	M_48_R2	M+ANDV_12_R1	M+ANDV_12_R2	M+ANDV_24_R1	M+ANDV_24_R2	M+ANDV_36_R1	M+ANDV_36_R2	M+ANDV_48_R1	M+ANDV_48_R2	M+SNV_12_R1	M+SNV_12_R2	M+SNV_24_R1	M+SNV_24_R2	M+SNV_36_R1	M+SNV_36_R2	M+SNV_48_R1	M+SNV_48_R2
IL1B	306.5	300.0	485.0	514.0	511.0	628.0	382.0	477.0	361.0	426.0	151.0	189.0	271.5	277.0	450.0	447.0	333.0	347.0	217.0	218.0	195.0	191.5	295.0	289.5	336.0	337.0	304.0	295.0	300.5	377.0	15.0	14.0	6.0	5.0	38.0	24.0	39.0	41.0	46.5	17.0	5.0	6.0	12.0	26.0	30.0	24.0	8.0	7.0	7.0	14.0	34.0	25.0	42.5	64.5
IL1RN	30.0	25.5	27.0	23.0	23.0	23.5	23.0	24.0	22.0	22.0	21.5	22.0	26.0	25.0	34.0	35.0	33.0	33.5	28.5	25.0	24.0	27.0	24.0	27.0	25.5	26.0	24.0	26.0	30.0	34.0	295.5	229.0	14.0	10.5	21.0	16.0	10.0	62.0	389.0	373.0	18.0	14.0	39.5	78.5	10.0	9.0	130.0	102.5	37.0	57.5	26.5	18.0	36.0	36.0
IL6	556.0	646.0	485.0	495.5	483.0	500.0	410.0	420.5	412.0	407.5	421.0	503.0	662.5	554.0	1059.0	1322.0	1497.0	1425.5	757.0	811.0	542.0	553.0	609.0	658.5	662.0	622.0	669.0	755.5	1058.0	995.0	18.0	16.67	25.0	20.0	28.5	28.5	20.0	20.0	27.0	35.0	28.0	24.0	16.67	25.0	22.0	22.0	23.0	26.0	27.0	21.0	32.0	18.0	34.5	23.0
IL8	10883.0	12658.0	10308.0	10993.0	9666.5	11487.0	7900.0	8912.0	7454.0	8211.0	8032.0	12036.5	15414.0	12952.0	12311.0	12081.0	11286.0	12194.0	4980.0	4872.0	13123.0	14709.0	15223.5	14403.5	13270.0	11053.0	11730.0	11780.5	10762.0	9785.0	1408.0	1246.0	322.5	216.0	995.5	941.0	725.0	978.5	1259.0	1101.5	227.0	146.0	589.0	937.0	690.0	515.0	352.5	352.0	365.0	405.5	894.0	631.5	829.0	1466.5
IRF7	469.0	487.5	458.0	463.0	446.0	465.0	518.0	482.5	544.0	565.0	973.5	856.0	4918.5	4380.0	13383.5	14807.5	13944.5	13823.0	9890.0	10483.0	1292.0	1221.0	1648.0	4251.0	2228.0	4080.0	6182.0	6869.5	12259.0	12853.0	44.0	41.0	27.0	27.0	46.0	43.0	31.5	44.0	52.0	56.0	32.0	38.0	34.0	56.5	34.0	36.0	32.5	32.0	32.0	41.5	57.0	34.0	66.5	51.0
ITGAM	67.0	74.0	74.0	64.0	80.0	76.5	65.0	78.0	72.5	56.0	25.0	22.83	70.0	35.0	81.0	65.0	71.0	60.0	69.5	73.0	32.0	31.0	48.0	45.0	62.0	48.0	37.0	51.0	56.5	67.0	33.0	32.0	41.0	42.0	73.5	64.5	58.5	107.5	62.0	75.0	45.0	41.5	47.0	105.0	51.0	45.0	51.0	53.0	61.0	60.0	99.0	65.0	161.0	119.0
NFKB1	1871.5	2023.0	1919.5	2050.0	1880.0	2057.5	1648.5	1750.0	1960.0	2009.0	1530.5	1968.5	2072.0	1827.0	2120.0	2255.0	2038.0	2099.0	1931.0	2004.0	2002.5	2113.0	2254.0	2430.0	2290.0	2298.0	2113.5	2248.0	2178.5	2221.0	60.0	55.5	15.0	6.0	54.0	45.0	55.0	76.0	60.0	50.0	7.0	8.0	42.0	62.5	33.0	20.0	16.5	18.0	18.5	31.5	50.0	33.0	59.0	87.0
NOS2	231.0	305.5	222.0	223.0	133.0	104.5	53.5	98.5	71.0	86.0	153.0	174.0	225.0	176.0	176.0	143.0	89.5	91.0	49.0	41.0	264.0	236.0	223.0	259.5	154.0	149.0	87.0	127.0	82.0	152.0	4.17	4.17	5.0	4.17	6.0	5.0	5.0	4.17	5.0	8.0	5.0	5.0	5.0	5.0	5.0	4.17	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0
PPARG	1381.0	1537.5	1476.5	1661.0	1818.0	1991.0	1670.0	1779.0	2146.0	2140.0	1038.0	1284.0	1465.0	1256.5	2350.5	2516.5	2354.0	2680.0	2152.0	2247.0	1373.0	1416.0	1629.0	1722.0	2081.5	2141.5	2426.0	2675.0	2987.0	2999.0	56.0	41.0	15.0	9.0	46.0	33.0	21.0	63.0	40.0	44.0	21.0	14.0	55.5	93.5	19.0	14.0	31.0	31.5	36.0	76.0	103.0	87.0	118.0	70.5
TGFB1	18329.5	18670.0	14230.5	14533.5	13754.0	14358.0	11586.0	12951.5	13591.0	14472.0	6773.0	15870.0	15047.0	11809.5	18770.5	20623.0	18770.0	19390.0	14531.0	14743.5	16566.0	18751.0	15477.5	18021.0	16960.0	16221.5	15095.0	18083.0	19099.0	20352.5	525.0	479.5	94.0	54.0	226.0	258.0	242.0	300.0	412.5	425.5	79.0	59.0	221.0	323.5	136.0	101.0	161.0	182.0	127.5	192.0	262.0	209.0	301.0	328.0
TLR3	111.0	101.0	109.0	135.0	116.0	109.0	97.5	119.0	104.5	111.0	98.5	100.0	449.0	486.0	4286.0	5443.0	5874.0	5567.0	4444.0	5164.5	111.0	110.5	189.0	332.0	232.5	375.5	564.0	698.0	4440.0	4482.0	15.0	16.0	15.0	14.0	25.0	22.0	12.33	13.0	17.0	28.0	15.0	12.33	12.33	18.5	12.33	12.33	20.5	28.0	29.0	23.0	31.0	16.0	32.0	24.0
TLR7	20.0	21.0	20.0	23.0	17.0	19.0	18.5	20.0	16.0	17.0	16.0	21.0	22.0	20.0	26.0	25.0	26.0	27.0	20.0	23.5	20.0	21.0	21.0	20.0	22.0	21.0	19.0	22.5	22.5	26.0	6.0	5.0	6.0	4.0	17.0	30.0	34.0	17.0	4.0	7.0	4.0	4.0	9.0	17.0	12.5	12.0	5.0	4.0	5.0	6.0	16.5	9.0	12.0	23.0
TNF	22.0	23.0	21.0	22.0	25.0	24.0	22.0	28.5	23.5	26.0	13.5	15.0	27.0	20.0	32.5	33.0	38.0	37.0	28.5	27.0	20.0	17.5	21.5	20.0	24.0	23.0	22.0	22.0	32.5	30.0	76.5	100.0	21.0	14.0	75.0	105.0	94.0	103.0	99.5	94.0	17.0	22.0	68.0	115.0	86.0	57.0	35.0	42.0	42.5	54.0	109.0	59.0	101.0	126.0
VEGFA	359.0	409.5	270.5	286.0	253.0	257.5	189.0	242.0	262.0	274.0	282.5	362.0	312.0	284.5	382.0	382.0	406.0	442.0	329.0	316.0	380.5	386.5	315.0	320.5	297.0	314.0	319.0	384.0	443.0	513.0	12.0	13.0	7.0	6.0	9.0	9.0	9.0	7.0	8.0	11.0	6.0	6.0	7.0	9.0	7.0	7.0	6.0	7.0	6.0	7.0	8.0	7.0	8.0	8.0
