	sample.name	sample	treatment1	treatment2	GAPDH	ACTIN	TARGET	ISmean.Ct	dCT	ddCT	RQ	adjRQ	gene
216	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	28.2475	18.74695	-9.50055	-1.289	2.443586203347	2.12065754767254	TAGLN
217	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	25.4122	17.92095	-7.49125	0	1	1.01423244120896	TWIST1
218	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	25.0783	17.7051	-7.3732	-0.118050000000004	1.08526698371754	1.10071298225932	TWIST1
219	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	25.5762	17.8884	-7.6878	0.196549999999998	0.872634852299482	0.885054576531721	TWIST1
220	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	22.3161	18.33625	-3.97985	-3.5114	11.4034621859897	11.5657612911304	TWIST1
221	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	22.1978	18.35405	-3.84375	-3.6475	12.5316111130408	12.7099665314606	TWIST1
222	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	22.2134	18.32545	-3.88795	-3.6033	12.1535005051538	12.3264744865765	TWIST1
223	SB_rep1	SB	SB	Control	16.018	18.2822	25.0718	17.1501	-7.9217	0.430449999999997	0.742030297920063	0.752591200510476	TWIST1
224	SB_rep2	SB	SB	Control	16.3221	18.5011	25.2612	17.4116	-7.8496	0.358349999999998	0.78005621439856	0.79115831860967	TWIST1
225	SB_rep3	SB	SB	Control	16.4114	18.6363	25.6143	17.52385	-8.09045	0.5992	0.660119902114279	0.669515019811983	TWIST1
226	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	23.3234	18.3919	-4.9315	-2.55975	5.89605507214758	5.9799703293267	TWIST1
227	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	24.3731	19.05685	-5.31625	-2.175	4.51585761922452	4.58012929729815	TWIST1
228	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	23.4603	18.74695	-4.71335	-2.7779	6.85853287932416	6.95614654530885	TWIST1
229	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	21.3581	17.92095	-3.43715	0	1	1.18797110476591	VIM
230	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	21.3788	17.7051	-3.6737	0.236549999999994	0.848772606373482	1.00831733088854	VIM
231	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	21.8893	17.8884	-4.0009	0.563749999999995	0.676541341048798	0.803711564345549	VIM
232	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	20.1775	18.33625	-1.84125	-1.5959	3.0228303227391	3.59103507802425	VIM
233	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	20.3026	18.35405	-1.94855	-1.4886	2.80616530998062	3.33364330345344	VIM
234	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	20.2237	18.32545	-1.89825	-1.5389	2.90572868239788	3.4519217129782	VIM
235	SB_rep1	SB	SB	Control	16.018	18.2822	22.5553	17.1501	-5.4052	1.96804999999999	0.255598274137822	0.303643364103768	VIM
236	SB_rep2	SB	SB	Control	16.3221	18.5011	22.7344	17.4116	-5.3228	1.88565	0.270621806428026	0.321490886356048	VIM
237	SB_rep3	SB	SB	Control	16.4114	18.6363	22.915	17.52385	-5.39115	1.954	0.258099633870811	0.306614907189183	VIM
